,Interaction Type,x_vector,y_vector,z_vector,Molecule ID
424,aliphatic_ring,6,20,14,19
425,aliphatic_ring,6,22,16,19
426,donor,9,10,19,20
427,donor,6,22,10,20
428,acceptor,7,11,10,20
429,acceptor,9,7,21,20
430,acceptor,13,11,28,20
431,aromatic,4,7,15,20
432,aromatic,6,7,17,20
433,aromatic,7,9,17,20
434,aromatic,8,10,14,20
435,aromatic,6,9,12,20
436,aromatic,5,7,12,20
437,aromatic,5,18,11,20
438,aromatic,7,19,13,20
439,aromatic,7,22,12,20
440,aromatic,6,22,10,20
441,aromatic,5,19,9,20
442,aromatic,11,10,28,20
443,aromatic,13,11,28,20
444,aromatic,14,12,31,20
445,aromatic,13,11,33,20
446,aromatic,10,10,32,20
447,basic,5,18,11,20
448,donor,4,23,13,21
449,acceptor,6,18,11,21
450,acceptor,4,6,12,21
451,aromatic,6,13,10,21
452,aromatic,6,16,9,21
453,aromatic,7,16,7,21
454,aromatic,6,20,10,21
455,aromatic,6,18,11,21
456,aromatic,5,7,11,21
457,aromatic,6,9,13,21
458,aromatic,6,12,13,21
459,aromatic,5,11,8,21
460,aromatic,4,8,9,21
461,aromatic,7,20,7,21
462,halogen,3,7,6,21
463,basic,4,23,13,21
464,donor,5,22,12,22
465,donor,5,13,13,22
466,donor,8,9,16,22
467,donor,10,9,20,22
468,acceptor,5,22,12,22
469,acceptor,5,18,12,22
470,acceptor,5,13,13,22
471,acceptor,6,8,20,22
472,aromatic,5,20,11,22
473,aromatic,5,19,8,22
474,aromatic,5,17,7,22
475,aromatic,5,15,9,22
476,aromatic,5,15,12,22
477,aromatic,5,18,12,22
478,aromatic,10,9,23,22
479,aromatic,10,7,24,22
480,aromatic,10,7,27,22
481,aromatic,10,8,29,22
482,aromatic,11,10,28,22
483,aromatic,11,11,25,22
484,basic,5,22,12,22
485,basic,5,19,8,22
486,basic,5,13,13,22
487,donor,5,23,12,23
488,donor,9,23,16,23
489,acceptor,6,20,9,23
490,acceptor,8,19,18,23
491,acceptor,15,29,17,23
492,aromatic,5,7,9,23
493,aromatic,6,8,12,23
494,aromatic,6,11,12,23
495,aromatic,6,13,10,23
496,aromatic,5,12,8,23
497,aromatic,4,9,7,23
498,aromatic,4,14,6,23
499,aromatic,5,16,6,23
500,aromatic,6,17,8,23
501,aromatic,6,15,11,23
502,aromatic,7,16,13,23
503,aromatic,7,19,13,23
504,aromatic,6,21,11,23
505,aromatic,6,20,9,23
506,aromatic,12,27,18,23
507,aromatic,10,29,18,23
508,aromatic,11,31,17,23
509,aromatic,14,31,17,23
510,aromatic,15,29,17,23
511,aromatic,14,27,17,23
512,basic,5,23,12,23
513,donor,5,22,12,24
514,donor,8,10,18,24
515,acceptor,5,17,11,24
516,acceptor,7,10,15,24
517,acceptor,7,7,19,24
518,acceptor,11,7,26,24
519,aromatic,5,14,10,24
520,aromatic,4,14,7,24
521,aromatic,3,12,6,24
522,aromatic,4,9,7,24
523,aromatic,6,9,10,24
524,aromatic,6,12,11,24
525,aromatic,9,8,22,24
526,aromatic,10,11,24,24
527,aromatic,11,11,26,24
528,aromatic,11,9,27,24
529,aromatic,11,7,26,24
530,aromatic,10,7,24,24
531,basic,5,22,12,24
532,aliphatic_ring,5,17,11,24
533,aliphatic_ring,5,22,12,24
534,aliphatic_ring,7,21,10,24
535,aliphatic_ring,8,18,10,24
536,aliphatic_ring,3,18,13,24
537,aliphatic_ring,3,21,12,24
538,donor,5,23,12,25
539,donor,9,23,16,25
540,acceptor,6,20,9,25
541,acceptor,8,19,18,25
542,acceptor,14,32,16,25
543,aromatic,4,7,10,25
544,aromatic,5,8,12,25
545,aromatic,6,11,13,25
546,aromatic,5,12,11,25
547,aromatic,4,11,8,25
548,aromatic,4,9,8,25
549,aromatic,4,13,6,25
550,aromatic,4,16,6,25
551,aromatic,5,17,9,25
552,aromatic,6,15,11,25
553,aromatic,7,16,13,25
554,aromatic,7,19,14,25
555,aromatic,6,21,11,25
556,aromatic,6,20,9,25
557,aromatic,12,27,17,25
558,aromatic,14,27,16,25
559,aromatic,15,30,16,25
560,aromatic,14,32,16,25
561,aromatic,11,32,17,25
562,aromatic,10,29,17,25
563,basic,5,23,12,25
564,donor,4,23,13,26
565,donor,5,14,14,26
566,donor,8,10,16,26
567,donor,10,9,21,26
568,acceptor,4,23,13,26
569,acceptor,5,18,13,26
570,acceptor,5,14,14,26
571,acceptor,6,8,20,26
572,aromatic,5,21,12,26
573,aromatic,5,21,9,26
574,aromatic,5,18,8,26
575,aromatic,5,16,9,26
576,aromatic,5,16,12,26
577,aromatic,5,18,13,26
578,aromatic,10,9,23,26
579,aromatic,10,11,25,26
580,aromatic,10,10,28,26
581,aromatic,10,7,29,26
582,aromatic,10,6,27,26
583,aromatic,10,7,24,26
584,halogen,10,7,32,26
585,basic,4,23,13,26
586,basic,5,21,9,26
587,basic,5,14,14,26
588,donor,7,23,9,27
589,donor,7,23,15,27
590,acceptor,4,19,8,27
591,acceptor,8,20,16,27
592,aromatic,6,19,12,27
593,aromatic,6,16,12,27
594,aromatic,5,15,10,27
595,aromatic,5,12,10,27
596,aromatic,5,11,12,27
597,aromatic,5,8,12,27
598,aromatic,4,7,10,27
599,aromatic,4,8,7,27
600,aromatic,4,11,8,27
601,aromatic,3,12,5,27
602,aromatic,4,15,5,27
603,aromatic,4,17,8,27
604,aromatic,4,19,8,27
605,aromatic,6,20,10,27
606,aromatic,15,28,16,27
607,aromatic,15,26,17,27
608,aromatic,12,25,17,27
609,aromatic,10,26,17,27
610,aromatic,10,28,16,27
611,aromatic,13,30,15,27
612,basic,7,23,9,27
613,donor,4,23,12,28
614,donor,5,13,14,28
615,donor,8,9,16,28
616,donor,10,9,21,28
617,acceptor,4,23,12,28
618,acceptor,5,18,13,28
619,acceptor,5,13,14,28
620,acceptor,6,7,20,28
621,aromatic,5,20,11,28
622,aromatic,5,20,9,28
623,aromatic,5,17,8,28
624,aromatic,5,15,9,28
625,aromatic,5,16,12,28
626,aromatic,5,18,13,28
627,aromatic,10,8,23,28
628,aromatic,10,10,25,28
629,aromatic,10,10,28,28
630,aromatic,10,7,29,28
631,aromatic,10,6,27,28
632,aromatic,10,7,24,28
633,basic,4,23,12,28
634,basic,5,20,9,28
635,basic,5,13,14,28
636,donor,5,23,12,29
637,donor,5,13,13,29
638,donor,8,9,16,29
639,donor,10,9,21,29
640,acceptor,5,23,12,29
641,acceptor,5,18,13,29
642,acceptor,5,13,13,29
643,acceptor,6,8,20,29
644,aromatic,5,20,11,29
645,aromatic,5,20,8,29
646,aromatic,5,17,7,29
647,aromatic,5,15,9,29
648,aromatic,5,15,12,29
649,aromatic,5,18,13,29
650,aromatic,10,9,23,29
651,aromatic,10,11,25,29
652,aromatic,10,10,28,29
653,aromatic,10,7,29,29
654,aromatic,10,6,27,29
655,aromatic,10,7,24,29
656,halogen,9,4,28,29
657,basic,5,23,12,29
658,basic,5,20,8,29
659,basic,5,13,13,29
660,donor,5,23,12,30
661,donor,9,9,19,30
662,acceptor,6,11,14,30
663,acceptor,8,16,11,30
664,acceptor,5,7,19,30
665,acceptor,11,7,25,30
666,aromatic,5,12,9,30
667,aromatic,5,10,11,30
668,aromatic,3,8,11,30
669,aromatic,4,7,14,30
670,aromatic,5,8,15,30
671,aromatic,6,11,14,30
672,aromatic,4,14,5,30
673,aromatic,5,16,5,30
674,aromatic,6,17,7,30
675,aromatic,6,15,9,30
676,aromatic,4,12,7,30
677,aromatic,9,9,21,30
678,aromatic,10,11,23,30
679,aromatic,11,10,26,30
680,aromatic,11,8,26,30
681,aromatic,11,7,25,30
682,aromatic,10,7,22,30
683,basic,5,23,12,30
684,aliphatic_ring,8,16,11,30
685,aliphatic_ring,8,19,11,30
686,aliphatic_ring,8,19,8,30
687,donor,5,20,8,31
688,donor,7,24,12,31
689,acceptor,4,12,5,31
690,acceptor,6,7,19,31
691,acceptor,9,18,9,31
692,aromatic,5,10,12,31
693,aromatic,5,11,9,31
694,aromatic,5,14,9,31
695,aromatic,4,15,7,31
696,aromatic,4,12,5,31
697,aromatic,5,10,7,31
698,aromatic,6,7,17,31
699,aromatic,5,7,15,31
700,aromatic,4,7,12,31
701,aromatic,7,11,14,31
702,aromatic,7,10,16,31
703,basic,7,24,12,31
704,aliphatic_ring,7,21,12,31
705,aliphatic_ring,5,20,14,31
706,aliphatic_ring,3,23,15,31
707,aliphatic_ring,6,25,14,31
708,aliphatic_ring,7,24,12,31
709,donor,5,22,10,32
710,donor,8,10,19,32
711,acceptor,7,11,10,32
712,acceptor,8,7,21,32
713,acceptor,9,8,26,32
714,aromatic,5,18,11,32
715,aromatic,6,19,14,32
716,aromatic,6,21,13,32
717,aromatic,5,22,10,32
718,aromatic,5,19,10,32
719,aromatic,7,9,12,32
720,aromatic,7,9,17,32
721,aromatic,5,7,17,32
722,aromatic,4,7,15,32
723,aromatic,5,7,12,32
724,aromatic,10,9,24,32
725,aromatic,7,10,15,32
726,aromatic,12,12,27,32
727,aromatic,11,11,29,32
728,aromatic,10,9,29,32
729,aromatic,9,8,26,32
730,aromatic,11,11,24,32
731,basic,5,18,11,32
732,donor,9,14,13,33
733,donor,4,19,6,33
734,acceptor,4,7,17,33
735,acceptor,8,8,20,33
736,acceptor,9,14,13,33
737,acceptor,7,16,9,33
738,acceptor,4,19,6,33
739,aromatic,7,10,14,33
740,aromatic,4,8,13,33
741,aromatic,3,7,15,33
742,aromatic,4,7,17,33
743,aromatic,7,8,18,33
744,aromatic,8,9,16,33
745,aromatic,8,16,12,33
746,aromatic,6,21,12,33
747,aromatic,8,19,13,33
748,aromatic,7,16,9,33
749,aromatic,6,19,8,33
750,aromatic,5,21,10,33
751,halogen,12,7,24,33
752,halogen,11,12,25,33
753,halogen,8,9,26,33
754,basic,9,14,13,33
755,basic,5,21,10,33
756,basic,4,19,6,33
757,donor,9,13,14,34
758,donor,5,19,8,34
759,donor,6,19,12,34
760,acceptor,9,13,14,34
761,acceptor,4,11,7,34
762,acceptor,5,14,10,34
763,acceptor,4,15,5,34
764,acceptor,5,19,8,34
765,aromatic,5,12,10,34
766,aromatic,5,10,12,34
767,aromatic,4,8,13,34
768,aromatic,5,7,15,34
769,aromatic,6,7,17,34
770,aromatic,8,10,16,34
771,aromatic,7,11,14,34
772,aromatic,4,12,5,34
773,aromatic,4,11,7,34
